CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 1.593750 1730128974.6889
MEM 16.894531 1730128974.8017
MEM 26.199219 1730128974.9019
MEM 30.566406 1730128975.0020
MEM 34.750000 1730128975.1027
MEM 35.105469 1730128975.2029
MEM 35.347656 1730128975.3031
MEM 35.722656 1730128975.4033
MEM 37.417969 1730128975.5035
MEM 37.417969 1730128975.6039
MEM 37.417969 1730128975.7048
MEM 37.417969 1730128975.8057
MEM 37.417969 1730128975.9066
MEM 37.417969 1730128976.0074
MEM 37.417969 1730128976.1082
MEM 37.417969 1730128976.2091
MEM 38.433594 1730128976.3099
MEM 38.433594 1730128976.4103
MEM 38.433594 1730128976.5108
MEM 38.714844 1730128976.6117
MEM 38.714844 1730128976.7123
MEM 38.835938 1730128976.8131
MEM 38.835938 1730128976.9140
MEM 38.835938 1730128977.0144
MEM 38.917969 1730128977.1153
MEM 38.917969 1730128977.2162
MEM 38.917969 1730128977.3171
MEM 38.917969 1730128977.4180
MEM 38.917969 1730128977.5189
MEM 38.992188 1730128977.6196
MEM 38.992188 1730128977.7200
MEM 38.992188 1730128977.8209
MEM 38.992188 1730128977.9218
MEM 38.992188 1730128978.0226
MEM 38.992188 1730128978.1229
MEM 38.992188 1730128978.2238
MEM 39.046875 1730128978.3246
MEM 39.046875 1730128978.4255
MEM 39.046875 1730128978.5264
MEM 39.046875 1730128978.6272
MEM 39.046875 1730128978.7280
MEM 39.046875 1730128978.8289
MEM 39.046875 1730128978.9297
MEM 39.046875 1730128979.0306
MEM 39.433594 1730128979.1309
MEM 39.433594 1730128979.2313
MEM 39.433594 1730128979.3322
MEM 39.500000 1730128979.4330
MEM 39.500000 1730128979.5335
MEM 39.500000 1730128979.6339
MEM 39.578125 1730128979.7345
MEM 39.578125 1730128979.8353
MEM 39.578125 1730128979.9363
MEM 39.578125 1730128980.0372
MEM 39.578125 1730128980.1377
MEM 39.578125 1730128980.2382
MEM 39.597656 1730128980.3391
MEM 39.644531 1730128980.4399
MEM 39.644531 1730128980.5402
MEM 39.644531 1730128980.6411
MEM 39.644531 1730128980.7420
MEM 39.644531 1730128980.8429
MEM 39.644531 1730128980.9438
MEM 39.644531 1730128981.0446
MEM 39.710938 1730128981.1448
MEM 39.710938 1730128981.2456
MEM 39.773438 1730128981.3465
MEM 39.773438 1730128981.4472
MEM 39.773438 1730128981.5476
MEM 39.773438 1730128981.6484
MEM 39.847656 1730128981.7492
MEM 39.847656 1730128981.8496
MEM 39.847656 1730128981.9505
MEM 39.847656 1730128982.0513
MEM 39.847656 1730128982.1516
MEM 39.847656 1730128982.2525
MEM 39.847656 1730128982.3534
MEM 39.847656 1730128982.4542
MEM 40.273438 1730128982.5547
MEM 40.273438 1730128982.6555
MEM 40.273438 1730128982.7560
MEM 40.273438 1730128982.8565
MEM 40.343750 1730128982.9569
MEM 40.343750 1730128983.0573
MEM 40.343750 1730128983.1577
MEM 40.343750 1730128983.2582
MEM 40.343750 1730128983.3587
MEM 40.343750 1730128983.4592
MEM 40.343750 1730128983.5597
MEM 40.406250 1730128983.6602
MEM 40.406250 1730128983.7606
MEM 40.406250 1730128983.8611
MEM 40.410156 1730128983.9619
MEM 40.472656 1730128984.0627
MEM 40.472656 1730128984.1630
MEM 40.472656 1730128984.2639
MEM 40.472656 1730128984.3648
MEM 40.472656 1730128984.4656
MEM 40.472656 1730128984.5664
MEM 40.925781 1730128984.6671
MEM 40.925781 1730128984.7674
MEM 40.925781 1730128984.8683
MEM 40.925781 1730128984.9691
MEM 40.925781 1730128985.0699
MEM 40.925781 1730128985.1702
MEM 41.066406 1730128985.2710
MEM 41.066406 1730128985.3718
MEM 41.066406 1730128985.4721
MEM 41.066406 1730128985.5724
MEM 41.066406 1730128985.6733
MEM 41.066406 1730128985.7741
MEM 41.066406 1730128985.8749
MEM 41.132812 1730128985.9757
MEM 41.132812 1730128986.0765
MEM 41.132812 1730128986.1768
MEM 41.203125 1730128986.2776
MEM 41.203125 1730128986.3778
MEM 41.203125 1730128986.4782
MEM 41.269531 1730128986.5790
MEM 41.269531 1730128986.6794
MEM 41.339844 1730128986.7799
MEM 41.339844 1730128986.8803
MEM 41.339844 1730128986.9807
MEM 41.339844 1730128987.0811
MEM 41.339844 1730128987.1816
MEM 41.339844 1730128987.2820
MEM 41.406250 1730128987.3824
MEM 41.406250 1730128987.4828
MEM 41.406250 1730128987.5832
MEM 41.406250 1730128987.6837
MEM 41.406250 1730128987.7842
MEM 41.406250 1730128987.8846
MEM 41.406250 1730128987.9851
MEM 41.441406 1730128988.0859
MEM 41.441406 1730128988.1864
MEM 41.441406 1730128988.2868
MEM 41.511719 1730128988.3876
MEM 41.511719 1730128988.4879
MEM 41.511719 1730128988.5884
MEM 41.511719 1730128988.6889
MEM 41.511719 1730128988.7894
MEM 41.589844 1730128988.8903
MEM 41.589844 1730128988.9907
MEM 41.589844 1730128989.0916
MEM 41.648438 1730128989.1920
MEM 41.648438 1730128989.2926
MEM 41.648438 1730128989.3935
MEM 41.714844 1730128989.4942
MEM 41.714844 1730128989.5949
MEM 41.714844 1730128989.6955
MEM 41.785156 1730128989.7962
MEM 41.785156 1730128989.8970
MEM 41.785156 1730128989.9979
MEM 41.855469 1730128990.0987
MEM 41.855469 1730128990.1994
MEM 41.855469 1730128990.2997
MEM 41.855469 1730128990.4006
MEM 41.855469 1730128990.5014
MEM 41.855469 1730128990.6023
MEM 41.855469 1730128990.7031
MEM 41.917969 1730128990.8043
MEM 41.917969 1730128990.9050
MEM 41.917969 1730128991.0058
MEM 41.984375 1730128991.1067
MEM 41.984375 1730128991.2072
MEM 41.984375 1730128991.3081
