CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 1.593750 1730131566.0359
MEM 16.781250 1730131566.1496
MEM 25.558594 1730131566.2498
MEM 31.046875 1730131566.3500
MEM 32.039062 1730131566.4502
MEM 32.324219 1730131566.5509
MEM 32.570312 1730131566.6511
MEM 33.730469 1730131566.7513
MEM 34.371094 1730131566.8515
MEM 34.371094 1730131566.9523
MEM 34.371094 1730131567.0526
MEM 35.429688 1730131567.1534
MEM 35.429688 1730131567.2537
MEM 35.429688 1730131567.3546
MEM 35.679688 1730131567.4555
MEM 35.679688 1730131567.5559
MEM 35.679688 1730131567.6564
MEM 35.722656 1730131567.7572
MEM 35.722656 1730131567.8575
MEM 35.722656 1730131567.9580
MEM 35.726562 1730131568.0584
MEM 35.804688 1730131568.1594
MEM 35.804688 1730131568.2598
MEM 35.804688 1730131568.3603
MEM 35.105469 1730131568.4608
MEM 35.105469 1730131568.5616
MEM 35.105469 1730131568.6625
MEM 35.105469 1730131568.7634
MEM 35.105469 1730131568.8642
MEM 35.105469 1730131568.9646
MEM 35.105469 1730131569.0655
MEM 35.593750 1730131569.1663
MEM 35.593750 1730131569.2671
MEM 35.593750 1730131569.3679
MEM 35.593750 1730131569.4688
MEM 35.593750 1730131569.5697
MEM 35.593750 1730131569.6706
MEM 35.593750 1730131569.7714
MEM 35.593750 1730131569.8722
MEM 35.593750 1730131569.9725
MEM 35.593750 1730131570.0734
MEM 35.593750 1730131570.1743
MEM 35.593750 1730131570.2752
MEM 35.898438 1730131570.3759
MEM 35.898438 1730131570.4762
MEM 35.898438 1730131570.5771
MEM 35.898438 1730131570.6780
MEM 35.898438 1730131570.7790
MEM 35.984375 1730131570.8798
MEM 35.984375 1730131570.9803
MEM 35.984375 1730131571.0808
MEM 35.984375 1730131571.1813
MEM 36.039062 1730131571.2826
MEM 36.039062 1730131571.3829
MEM 36.039062 1730131571.4835
MEM 36.039062 1730131571.5840
MEM 36.039062 1730131571.6845
MEM 36.039062 1730131571.7850
MEM 36.085938 1730131571.8858
MEM 36.085938 1730131571.9861
MEM 36.085938 1730131572.0870
MEM 36.085938 1730131572.1879
MEM 36.085938 1730131572.2887
MEM 36.085938 1730131572.3895
MEM 36.085938 1730131572.4903
MEM 36.132812 1730131572.5912
MEM 36.132812 1730131572.6920
MEM 36.132812 1730131572.7923
MEM 36.175781 1730131572.8931
MEM 36.175781 1730131572.9935
MEM 36.175781 1730131573.0943
MEM 36.175781 1730131573.1952
MEM 36.281250 1730131573.2960
