CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 1.605469 1729868943.8992
MEM 16.644531 1729868944.0035
MEM 23.730469 1729868944.1038
MEM 25.199219 1729868944.2041
MEM 26.546875 1729868944.3044
MEM 26.812500 1729868944.4047
MEM 27.167969 1729868944.5050
MEM 27.625000 1729868944.6053
MEM 28.542969 1729868944.7056
MEM 29.640625 1729868944.8060
MEM 30.050781 1729868944.9063
MEM 31.628906 1729868945.0065
MEM 31.855469 1729868945.1068
MEM 32.078125 1729868945.2071
MEM 32.398438 1729868945.3073
MEM 34.109375 1729868945.4078
MEM 34.117188 1729868945.5083
MEM 34.117188 1729868945.6092
MEM 34.117188 1729868945.7096
MEM 34.117188 1729868945.8105
MEM 35.148438 1729868945.9112
MEM 35.148438 1729868946.0120
MEM 35.148438 1729868946.1129
MEM 35.375000 1729868946.2137
MEM 35.375000 1729868946.3145
MEM 35.375000 1729868946.4154
MEM 35.437500 1729868946.5160
MEM 35.437500 1729868946.6173
MEM 35.437500 1729868946.7181
MEM 35.515625 1729868946.8189
MEM 35.515625 1729868946.9197
MEM 35.515625 1729868947.0206
MEM 35.554688 1729868947.1213
MEM 35.554688 1729868947.2220
MEM 35.554688 1729868947.3229
MEM 35.613281 1729868947.4237
MEM 35.613281 1729868947.5245
MEM 35.613281 1729868947.6253
MEM 35.660156 1729868947.7256
MEM 35.660156 1729868947.8260
MEM 35.660156 1729868947.9264
MEM 35.707031 1729868948.0272
MEM 35.707031 1729868948.1276
MEM 35.707031 1729868948.2281
MEM 35.933594 1729868948.3290
MEM 35.933594 1729868948.4295
MEM 35.933594 1729868948.5300
MEM 36.171875 1729868948.6309
MEM 36.171875 1729868948.7313
MEM 36.171875 1729868948.8322
MEM 36.171875 1729868948.9331
MEM 36.218750 1729868949.0339
MEM 36.218750 1729868949.1348
MEM 36.218750 1729868949.2356
MEM 36.218750 1729868949.3365
MEM 36.261719 1729868949.4372
MEM 36.261719 1729868949.5376
MEM 36.261719 1729868949.6384
MEM 36.261719 1729868949.7393
MEM 36.261719 1729868949.8402
MEM 36.304688 1729868949.9410
MEM 36.304688 1729868950.0417
MEM 36.304688 1729868950.1421
MEM 36.304688 1729868950.2430
MEM 35.761719 1729868950.3437
MEM 35.761719 1729868950.4440
MEM 35.761719 1729868950.5444
MEM 36.242188 1729868950.6451
MEM 36.242188 1729868950.7455
MEM 36.242188 1729868950.8464
MEM 36.640625 1729868950.9472
MEM 36.640625 1729868951.0476
MEM 36.640625 1729868951.1485
MEM 37.054688 1729868951.2493
MEM 37.054688 1729868951.3496
MEM 37.167969 1729868951.4501
MEM 37.167969 1729868951.5506
MEM 37.167969 1729868951.6511
MEM 37.312500 1729868951.7515
MEM 37.312500 1729868951.8518
MEM 37.312500 1729868951.9523
MEM 37.363281 1729868952.0527
MEM 37.363281 1729868952.1532
MEM 37.406250 1729868952.2537
MEM 37.406250 1729868952.3545
MEM 37.406250 1729868952.4548
MEM 37.453125 1729868952.5556
MEM 37.453125 1729868952.6569
MEM 37.453125 1729868952.7572
MEM 37.511719 1729868952.8581
MEM 37.511719 1729868952.9585
MEM 37.554688 1729868953.0593
MEM 37.554688 1729868953.1601
MEM 37.554688 1729868953.2604
MEM 37.601562 1729868953.3612
MEM 37.601562 1729868953.4620
MEM 37.601562 1729868953.5624
MEM 37.652344 1729868953.6633
MEM 37.652344 1729868953.7636
MEM 37.652344 1729868953.8640
MEM 37.707031 1729868953.9649
MEM 37.707031 1729868954.0657
MEM 37.707031 1729868954.1661
MEM 37.734375 1729868954.2669
MEM 37.750000 1729868954.3677
MEM 37.750000 1729868954.4680
MEM 37.800781 1729868954.5689
MEM 37.804688 1729868954.6696
MEM 37.804688 1729868954.7699
MEM 37.804688 1729868954.8707
MEM 37.851562 1729868954.9715
MEM 37.851562 1729868955.0719
MEM 37.851562 1729868955.1728
MEM 37.898438 1729868955.2737
MEM 37.898438 1729868955.3747
MEM 37.898438 1729868955.4752
MEM 37.949219 1729868955.5756
MEM 37.949219 1729868955.6760
MEM 37.949219 1729868955.7765
MEM 37.996094 1729868955.8769
MEM 37.996094 1729868955.9774
MEM 37.996094 1729868956.0779
MEM 38.046875 1729868956.1788
MEM 38.046875 1729868956.2792
MEM 38.046875 1729868956.3796
MEM 38.046875 1729868956.4800
MEM 38.089844 1729868956.5808
MEM 38.089844 1729868956.6816
MEM 38.089844 1729868956.7818
MEM 38.164062 1729868956.8827
MEM 38.164062 1729868956.9830
MEM 38.164062 1729868957.0839
MEM 38.164062 1729868957.1848
MEM 38.164062 1729868957.2852
MEM 38.164062 1729868957.3856
MEM 38.238281 1729868957.4863
MEM 38.238281 1729868957.5865
MEM 38.238281 1729868957.6868
MEM 38.308594 1729868957.7876
MEM 38.308594 1729868957.8885
MEM 38.308594 1729868957.9893
MEM 38.308594 1729868958.0902
MEM 38.312500 1729868958.1910
MEM 38.312500 1729868958.2919
MEM 38.312500 1729868958.3928
MEM 38.589844 1729868958.4935
MEM 38.589844 1729868958.5937
MEM 38.589844 1729868958.6939
MEM 38.734375 1729868958.7948
MEM 38.734375 1729868958.8951
MEM 38.800781 1729868958.9959
MEM 38.800781 1729868959.0967
MEM 38.800781 1729868959.1976
MEM 38.863281 1729868959.2983
MEM 38.863281 1729868959.3993
MEM 38.863281 1729868959.4997
MEM 38.937500 1729868959.6001
MEM 38.937500 1729868959.7005
MEM 38.937500 1729868959.8010
MEM 39.007812 1729868959.9015
MEM 39.007812 1729868960.0024
MEM 39.007812 1729868960.1029
MEM 39.011719 1729868960.2038
MEM 39.011719 1729868960.3041
MEM 39.011719 1729868960.4047
MEM 39.074219 1729868960.5055
MEM 39.074219 1729868960.6063
MEM 39.074219 1729868960.7067
MEM 39.144531 1729868960.8074
MEM 39.144531 1729868960.9078
MEM 39.207031 1729868961.0086
MEM 39.207031 1729868961.1093
MEM 39.207031 1729868961.2096
MEM 39.218750 1729868961.3103
MEM 39.218750 1729868961.4111
MEM 39.218750 1729868961.5120
MEM 40.726562 1729868961.6127
MEM 39.726562 1729868961.7129
MEM 39.726562 1729868961.8132
MEM 39.726562 1729868961.9135
MEM 39.738281 1729868962.0144
MEM 40.074219 1729868962.1151
MEM 40.074219 1729868962.2158
MEM 40.074219 1729868962.3161
MEM 40.171875 1729868962.4170
MEM 40.171875 1729868962.5178
MEM 40.171875 1729868962.6187
MEM 40.257812 1729868962.7195
MEM 40.257812 1729868962.8197
MEM 40.257812 1729868962.9200
MEM 40.546875 1729868963.0209
MEM 40.550781 1729868963.1217
MEM 40.550781 1729868963.2221
MEM 40.625000 1729868963.3230
MEM 40.625000 1729868963.4239
MEM 40.625000 1729868963.5243
MEM 40.695312 1729868963.6252
MEM 39.269531 1729868963.7256
MEM 39.269531 1729868963.8261
MEM 39.824219 1729868963.9265
MEM 39.871094 1729868964.0270
MEM 39.871094 1729868964.1273
MEM 39.921875 1729868964.2277
MEM 39.921875 1729868964.3281
MEM 39.921875 1729868964.4285
MEM 39.921875 1729868964.5295
MEM 39.445312 1729868964.6302
MEM 39.445312 1729868964.7305
MEM 39.445312 1729868964.8308
MEM 40.027344 1729868964.9315
MEM 40.027344 1729868965.0322
MEM 40.027344 1729868965.1325
MEM 40.410156 1729868965.2333
MEM 40.410156 1729868965.3337
MEM 40.410156 1729868965.4345
MEM 40.464844 1729868965.5353
MEM 40.464844 1729868965.6359
MEM 40.464844 1729868965.7362
MEM 39.605469 1729868965.8370
MEM 39.605469 1729868965.9373
MEM 39.605469 1729868966.0381
MEM 40.277344 1729868966.1389
MEM 40.277344 1729868966.2392
MEM 40.281250 1729868966.3400
MEM 40.281250 1729868966.4402
MEM 39.074219 1729868966.5404
