CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 1.593750 1730131743.8198
MEM 16.632812 1730131743.9250
MEM 25.617188 1730131744.0253
MEM 30.398438 1730131744.1256
MEM 34.617188 1730131744.2259
MEM 34.960938 1730131744.3262
MEM 35.195312 1730131744.4266
MEM 35.460938 1730131744.5269
MEM 37.156250 1730131744.6272
MEM 37.179688 1730131744.7276
MEM 37.179688 1730131744.8280
MEM 37.179688 1730131744.9289
MEM 37.492188 1730131745.0297
MEM 37.492188 1730131745.1301
MEM 37.492188 1730131745.2310
MEM 38.031250 1730131745.3318
MEM 38.031250 1730131745.4321
MEM 38.031250 1730131745.5330
MEM 38.242188 1730131745.6338
MEM 38.242188 1730131745.7346
MEM 38.242188 1730131745.8355
MEM 38.242188 1730131745.9364
MEM 38.242188 1730131746.0373
MEM 38.539062 1730131746.1381
MEM 38.539062 1730131746.2384
MEM 38.539062 1730131746.3392
MEM 38.023438 1730131746.4394
MEM 38.023438 1730131746.5402
MEM 38.023438 1730131746.6411
MEM 38.496094 1730131746.7419
MEM 38.496094 1730131746.8428
MEM 38.496094 1730131746.9431
MEM 39.054688 1730131747.0440
MEM 39.054688 1730131747.1445
MEM 39.054688 1730131747.2450
MEM 39.128906 1730131747.3454
MEM 39.128906 1730131747.4459
MEM 39.128906 1730131747.5464
MEM 39.128906 1730131747.6469
MEM 39.128906 1730131747.7474
MEM 39.195312 1730131747.8478
MEM 39.195312 1730131747.9481
MEM 39.195312 1730131748.0485
MEM 39.195312 1730131748.1490
MEM 39.195312 1730131748.2495
MEM 39.195312 1730131748.3503
MEM 39.195312 1730131748.4506
MEM 39.269531 1730131748.5514
MEM 39.269531 1730131748.6517
MEM 39.269531 1730131748.7526
MEM 39.269531 1730131748.8534
MEM 39.269531 1730131748.9543
MEM 39.269531 1730131749.0556
MEM 39.343750 1730131749.1563
MEM 39.343750 1730131749.2567
MEM 39.359375 1730131749.3574
MEM 39.359375 1730131749.4581
MEM 39.359375 1730131749.5590
MEM 39.421875 1730131749.6597
MEM 39.421875 1730131749.7600
MEM 39.421875 1730131749.8609
MEM 39.421875 1730131749.9617
MEM 39.421875 1730131750.0625
MEM 39.421875 1730131750.1634
MEM 39.421875 1730131750.2642
MEM 39.421875 1730131750.3650
MEM 39.843750 1730131750.4653
MEM 39.843750 1730131750.5660
MEM 39.843750 1730131750.6670
MEM 39.843750 1730131750.7679
MEM 39.972656 1730131750.8688
MEM 39.972656 1730131750.9692
MEM 39.972656 1730131751.0701
MEM 39.972656 1730131751.1705
MEM 39.980469 1730131751.2709
MEM 39.980469 1730131751.3713
MEM 39.980469 1730131751.4717
MEM 39.980469 1730131751.5721
MEM 40.398438 1730131751.6730
MEM 40.398438 1730131751.7735
MEM 40.398438 1730131751.8744
MEM 40.398438 1730131751.9749
MEM 40.398438 1730131752.0754
MEM 40.398438 1730131752.1759
MEM 40.398438 1730131752.2764
MEM 40.398438 1730131752.3772
MEM 40.398438 1730131752.4777
MEM 40.437500 1730131752.5785
MEM 40.437500 1730131752.6879
MEM 40.437500 1730131752.7888
MEM 40.445312 1730131752.8893
MEM 40.500000 1730131752.9897
MEM 40.500000 1730131753.0902
MEM 40.500000 1730131753.1907
MEM 40.500000 1730131753.2915
MEM 40.558594 1730131753.3919
MEM 40.558594 1730131753.4923
MEM 40.558594 1730131753.5932
MEM 40.621094 1730131753.6937
MEM 40.621094 1730131753.8056
MEM 40.621094 1730131753.9058
MEM 40.667969 1730131754.0062
MEM 40.667969 1730131754.1066
MEM 40.722656 1730131754.2075
MEM 40.722656 1730131754.3079
MEM 40.722656 1730131754.4083
MEM 40.722656 1730131754.5087
MEM 40.722656 1730131754.6092
MEM 40.722656 1730131754.7096
MEM 40.832031 1730131754.8105
MEM 40.832031 1730131754.9109
MEM 40.832031 1730131755.0114
MEM 40.906250 1730131755.1122
MEM 40.906250 1730131755.2130
MEM 40.906250 1730131755.3134
MEM 40.906250 1730131755.4138
MEM 40.968750 1730131755.5147
MEM 40.968750 1730131755.6151
MEM 41.031250 1730131755.7159
MEM 41.031250 1730131755.8163
MEM 41.031250 1730131755.9168
MEM 41.109375 1730131756.0177
MEM 41.109375 1730131756.1186
MEM 41.109375 1730131756.2194
MEM 41.109375 1730131756.3202
MEM 41.109375 1730131756.4210
MEM 41.109375 1730131756.5219
MEM 41.109375 1730131756.6227
MEM 41.109375 1730131756.7235
MEM 41.175781 1730131756.8244
MEM 41.175781 1730131756.9251
MEM 41.175781 1730131757.0260
MEM 41.242188 1730131757.1267
MEM 41.242188 1730131757.2276
MEM 41.242188 1730131757.3283
MEM 41.308594 1730131757.4291
MEM 41.308594 1730131757.5299
MEM 41.308594 1730131757.6307
MEM 41.371094 1730131757.7314
MEM 41.371094 1730131757.8321
MEM 41.371094 1730131757.9325
MEM 41.437500 1730131758.0333
MEM 41.437500 1730131758.1335
MEM 41.437500 1730131758.2339
MEM 41.449219 1730131758.3348
MEM 41.449219 1730131758.4351
MEM 41.449219 1730131758.5356
MEM 41.449219 1730131758.6361
MEM 41.449219 1730131758.7369
MEM 41.449219 1730131758.8374
MEM 41.449219 1730131758.9379
MEM 41.503906 1730131759.0383
MEM 41.503906 1730131759.1388
MEM 41.503906 1730131759.2393
MEM 41.503906 1730131759.3404
MEM 41.562500 1730131759.4407
MEM 41.562500 1730131759.5416
MEM 41.562500 1730131759.6424
MEM 41.562500 1730131759.7433
MEM 41.800781 1730131759.8441
MEM 41.800781 1730131759.9448
MEM 41.800781 1730131760.0452
MEM 41.800781 1730131760.1461
MEM 41.800781 1730131760.2470
MEM 41.800781 1730131760.3477
MEM 41.800781 1730131760.4485
MEM 41.800781 1730131760.5494
MEM 41.800781 1730131760.6502
MEM 41.800781 1730131760.7511
MEM 41.800781 1730131760.8520
MEM 41.800781 1730131760.9529
MEM 41.800781 1730131761.0538
MEM 41.859375 1730131761.1546
MEM 41.859375 1730131761.2550
MEM 41.859375 1730131761.3557
MEM 41.906250 1730131761.4559
MEM 41.906250 1730131761.5562
MEM 41.906250 1730131761.6572
MEM 42.136719 1730131761.7575
MEM 42.187500 1730131761.8580
MEM 42.187500 1730131761.9585
MEM 42.187500 1730131762.0590
MEM 42.187500 1730131762.1595
MEM 42.187500 1730131762.2600
MEM 42.187500 1730131762.3608
MEM 42.257812 1730131762.4611
MEM 42.257812 1730131762.5616
MEM 42.265625 1730131762.6625
MEM 42.316406 1730131762.7629
MEM 42.316406 1730131762.8633
MEM 42.316406 1730131762.9642
